edge,parameter,a,b,c,phase_1,phase_1_state,phase_1_value,phase_2,phase_2_state,phase_2_value,difference,source_row
Ab,0.000000000000,1.000000000000,0.000000000000,0.000000000000,Lime,OK,2896.240000000000,PbO,NA,,,66
Ab,0.100000000000,0.900000000000,0.100000000000,0.000000000000,Lime,OK,2804.980000000000,PbO,NA,,,65
Ab,0.200000000000,0.800000000000,0.200000000000,0.000000000000,Lime,OK,2711.300000000000,PbO,NA,,,63
Ab,0.300000000000,0.700000000000,0.300000000000,0.000000000000,Lime,OK,2606.740000000000,PbO,NA,,,60
Ab,0.400000000000,0.600000000000,0.400000000000,0.000000000000,Lime,OK,2480.690000000000,PbO,NA,,,56
Ab,0.500000000000,0.500000000000,0.500000000000,0.000000000000,Lime,OK,2318.270000000000,PbO,NA,,,51
Ab,0.600000000000,0.400000000000,0.600000000000,0.000000000000,Lime,OK,2098.160000000000,PbO,OK,501.710000000000,1596.450000000000,45
Ab,0.700000000000,0.300000000000,0.700000000000,0.000000000000,Lime,OK,1793.650000000000,PbO,OK,652.310000000000,1141.340000000000,38
Ab,0.800000000000,0.200000000000,0.800000000000,0.000000000000,Lime,OK,1384.300000000000,PbO,OK,756.990000000000,627.310000000000,30
Ab,0.900000000000,0.100000000000,0.900000000000,0.000000000000,Lime,OK,846.250000000000,PbO,OK,833.030000000000,13.220000000000,21
Ab,1.000000000000,0.000000000000,1.000000000000,0.000000000000,Lime,NA,,PbO,OK,885.850000000000,,11
Bc,0.000000000000,0.000000000000,1.000000000000,0.000000000000,PbO,OK,885.850000000000,ZnO,NA,,,11
Bc,0.100000000000,0.000000000000,0.900000000000,0.100000000000,PbO,OK,844.530000000000,ZnO,OK,1028.320000000000,-183.790000000000,10
Bc,0.200000000000,0.000000000000,0.800000000000,0.200000000000,PbO,OK,803.600000000000,ZnO,OK,1261.820000000000,-458.220000000000,9
Bc,0.300000000000,0.000000000000,0.700000000000,0.300000000000,PbO,OK,761.730000000000,ZnO,OK,1412.050000000000,-650.320000000000,8
Bc,0.400000000000,0.000000000000,0.600000000000,0.400000000000,PbO,OK,717.630000000000,ZnO,OK,1525.040000000000,-807.410000000000,7
Bc,0.500000000000,0.000000000000,0.500000000000,0.500000000000,PbO,OK,669.610000000000,ZnO,OK,1617.380000000000,-947.770000000000,6
Bc,0.600000000000,0.000000000000,0.400000000000,0.600000000000,PbO,OK,615.120000000000,ZnO,OK,1697.190000000000,-1082.070000000000,5
Bc,0.700000000000,0.000000000000,0.300000000000,0.700000000000,PbO,OK,549.800000000000,ZnO,OK,1769.300000000000,-1219.500000000000,4
Bc,0.800000000000,0.000000000000,0.200000000000,0.800000000000,PbO,OK,464.930000000000,ZnO,OK,1837.170000000000,-1372.240000000000,3
Bc,0.900000000000,0.000000000000,0.100000000000,0.900000000000,PbO,OK,337.930000000000,ZnO,OK,1904.050000000000,-1566.120000000000,2
Bc,1.000000000000,0.000000000000,0.000000000000,1.000000000000,PbO,NA,,ZnO,OK,1974.840000000000,,1
Ca,0.000000000000,0.000000000000,0.000000000000,1.000000000000,ZnO,OK,1974.840000000000,Lime,OK,1437.310000000000,537.530000000000,1
Ca,0.100000000000,0.100000000000,0.000000000000,0.900000000000,ZnO,OK,1892.290000000000,Lime,OK,1402.080000000000,490.210000000000,12
Ca,0.200000000000,0.200000000000,0.000000000000,0.800000000000,ZnO,OK,1783.490000000000,Lime,OK,1367.390000000000,416.100000000000,22
Ca,0.300000000000,0.300000000000,0.000000000000,0.700000000000,ZnO,OK,1638.270000000000,Lime,OK,1380.240000000000,258.030000000000,31
Ca,0.400000000000,0.400000000000,0.000000000000,0.600000000000,ZnO,OK,1431.620000000000,Lime,OK,1714.060000000000,-282.440000000000,39
Ca,0.500000000000,0.500000000000,0.000000000000,0.500000000000,ZnO,OK,1068.620000000000,Lime,OK,2078.340000000000,-1009.720000000000,46
Ca,0.600000000000,0.600000000000,0.000000000000,0.400000000000,ZnO,NA,,Lime,OK,2346.320000000000,,52
Ca,0.700000000000,0.700000000000,0.000000000000,0.300000000000,ZnO,NA,,Lime,OK,2539.450000000000,,57
Ca,0.800000000000,0.800000000000,0.000000000000,0.200000000000,ZnO,NA,,Lime,OK,2685.510000000000,,61
Ca,0.900000000000,0.900000000000,0.000000000000,0.100000000000,ZnO,NA,,Lime,OK,2801.240000000000,,64
Ca,1.000000000000,1.000000000000,0.000000000000,0.000000000000,ZnO,NA,,Lime,OK,2896.240000000000,,66
